CODE,RG CODE,NB CODE,PLAYER,YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,,PTS / G,REB / G,AST / G,STL / G,BLK / G,TOV / G,FG%,3P%,FT%,,RESULT
AJ Green MIL 2024,A.J. Green,AJ Green,AJ Green,2024,MIL,6,67.4,17,6,16,37.5,2,11,18.2,3,3,100,0,9,9,2,0,0,1,9,,2.83,1.50,0.33,0.00,0.00,0.17,0.38,0.18,1.00,10.00,First Round
AJ Lawson DAL 2024,A.J. Lawson,A.J. Lawson,AJ Lawson,2024,DAL,10,29.9,11,4,9,44.4,2,6,33.3,1,2,50,1,2,3,0,0,1,0,1,,1.10,0.30,0.00,0.00,0.10,0.00,0.44,0.33,0.50,"10,000.00",Finalist
AJ Price IND 2011,A.J. Price,AJ Price,AJ Price,2011,IND,5,80,42,13,35,0.371,7,16,0.438,9,10,0.9,2,5,7,6,3,0,7,5,,8.40,1.40,1.20,0.60,0.00,1.40,0.37,0.44,0.90,10.00,First Round
AJ Price IND 2012,A.J. Price,AJ Price,AJ Price,2012,IND,4,6.5,2,1,2,0.5,0,0,0,0,0,0,1,1,2,1,0,0,0,0,,0.50,0.50,0.25,0.00,0.00,0.00,0.50,0.00,0.00,100.00,Conf Semis
Al Attles GSW 1961,Al Attles,,Al Attles,1961,GSW,3,110,29,12,26,0.462,,,,5,14,0.357,,,12,9,,,,14,,9.67,4.00,3.00,0.00,0.00,0.00,0.46,0.00,0.36,100.00,Conf Semis
Al Attles GSW 1962,Al Attles,,Al Attles,1962,GSW,12,338,73,28,76,0.368,,,,17,31,0.548,,,55,27,,,,54,,6.08,4.58,2.25,0.00,0.00,0.00,0.37,0.00,0.55,"1,000.00",Conf Finalist
Al Attles GSW 1964,Al Attles,,Al Attles,1964,GSW,12,386,146,58,144,0.403,,,,30,56,0.536,,,37,30,,,,54,,12.17,3.08,2.50,0.00,0.00,0.00,0.40,0.00,0.54,"10,000.00",Finalist
Al Attles GSW 1967,Al Attles,,Al Attles,1967,GSW,15,237,46,20,46,0.435,,,,6,16,0.375,,,62,38,,,,45,,3.07,4.13,2.53,0.00,0.00,0.00,0.43,0.00,0.38,"10,000.00",Finalist
Al Attles GSW 1968,Al Attles,,Al Attles,1968,GSW,10,277,73,25,62,0.403,,,,23,30,0.767,,,53,70,,,,49,,7.30,5.30,7.00,0.00,0.00,0.00,0.40,0.00,0.77,"1,000.00",Conf Finalist
Al Attles GSW 1969,Al Attles,,Al Attles,1969,GSW,6,109,15,7,21,0.333,,,,1,4,0.25,,,18,21,,,,17,,2.50,3.00,3.50,0.00,0.00,0.00,0.33,0.00,0.25,100.00,Conf Semis
Al Attles GSW 1971,Al Attles,,Al Attles,1971,GSW,4,47,12,4,7,0.571,,,,4,7,0.571,,,8,11,,,,13,,3.00,2.00,2.75,0.00,0.00,0.00,0.57,0.00,0.57,100.00,Conf Semis
