NAME,W,L,,,NAME,W,L,% W,,NAME,TOT,W,L,% W
John Johnson,10,4,71.43%,,Bob Davies,6,6,50.00%,,,,,,
Andrew Bogut,11,4,73.33%,,Bobby Wanzer,6,6,50.00%,,,,,,
Jo Jo White,10,4,71.43%,,Charles Jones (1957),6,6,50.00%,,,,,,
Payton Pritchard,10,4,71.43%,,Glen Rice,6,6,50.00%,,,,,,
Jamal Murray,9,4,69.23%,,DeMarre Carroll,6,6,50.00%,,,,,,
Harrison Barnes,8,4,66.67%,,Walter McCarty,6,6,50.00%,,,,,,
Mickael Pietrus,8,4,66.67%,,Brendan Haywood,6,6,50.00%,,,,,,
Tiago Splitter,9,4,69.23%,,Donald Royal,6,6,50.00%,,,,,,
Rodney McCray,8,4,66.67%,,Lucious Jackson,5,5,50.00%,,,,,,
Grant Williams,7,4,63.64%,,Luka Doncic,5,5,50.00%,,,,,,
Ernie Vandeweghe,7,4,63.64%,,Jim Petersen,5,5,50.00%,,,,,,
Oliver Miller,6,4,60.00%,,Bobby Portis,5,5,50.00%,,,,,,
Daequan Cook,6,4,60.00%,,Corey Brewer,5,5,50.00%,,,,,,
Donte DiVincenzo,6,4,60.00%,,Dwight Powell,5,5,50.00%,,,,,,
Otto Porter,6,4,60.00%,,Kelly Olynyk,5,5,50.00%,,,,,,
Rasual Butler,8,4,66.67%,,OG Anunoby,5,5,50.00%,,,,,,
Roy Hibbert,5,4,55.56%,,Jim Jackson,5,5,50.00%,,,,,,
Curtis Perry,5,4,55.56%,,Michael Doleac,5,5,50.00%,,,,,,
Luis Scola,5,4,55.56%,,Bob Boozer,5,5,50.00%,,,,,,
Terry Rozier,5,4,55.56%,,Marvin Webster,5,5,50.00%,,,,,,
CJ Watson,4,4,50.00%,,Corie Blount,5,5,50.00%,,,,,,
Brian Cook,4,4,50.00%,,Shawn Bradley,5,5,50.00%,,,,,,
Anthony Edwards,4,4,50.00%,,Jarron Collins,5,5,50.00%,,,,,,
Si Green,3,4,42.86%,,Vince Boryla,5,5,50.00%,,,,,,
Blue Edwards,3,4,42.86%,,Jonathan Bender,5,5,50.00%,,,,,,
Nikola Mirotic,4,4,50.00%,,Rudy Tomjanovich,5,5,50.00%,,,,,,
Ben Simmons,3,4,42.86%,,Ray Williams,5,5,50.00%,,,,,,
Terance Mann,3,4,42.86%,,Dennis Scott,5,5,50.00%,,,,,,
Al Ferrari,3,4,42.86%,,Furkan Korkmaz,5,5,50.00%,,,,,,
Joe Bryant,4,4,50.00%,,CJ Watson,4,4,50.00%,,,,,,
Jason Richardson,3,4,42.86%,,Brian Cook,4,4,50.00%,,,,,,
John Wall,3,4,42.86%,,Anthony Edwards,4,4,50.00%,,,,,,
Boban Marjanovic,4,4,50.00%,,Nikola Mirotic,4,4,50.00%,,,,,,
Gary Harris,3,4,42.86%,,Joe Bryant,4,4,50.00%,,,,,,
Tyrese Maxey,3,4,42.86%,,Boban Marjanovic,4,4,50.00%,,,,,,
Dick Van Arsdale,2,4,33.33%,,Billy Cunningham,4,4,50.00%,,,,,,
Sam Lacey,2,4,33.33%,,Jim Chones,4,4,50.00%,,,,,,
Voshon Lenard,2,4,33.33%,,Keith Bogans,4,4,50.00%,,,,,,
Danny Granger,2,4,33.33%,,Ryan Hollins,4,4,50.00%,,,,,,
Carl Landry,2,4,33.33%,,Fred Hetzel,4,4,50.00%,,,,,,
Jerami Grant,2,4,33.33%,,John Tresvant,4,4,50.00%,,,,,,
Bogdan Bogdanovic,2,4,33.33%,,Ralph Sampson,4,4,50.00%,,,,,,
Paul Reed,3,4,42.86%,,Dick Snyder,4,4,50.00%,,,,,,
Paul Neumann,2,4,33.33%,,Jordan Clarkson,4,4,50.00%,,,,,,
Noble Jorgensen,2,4,33.33%,,Nickeil Alexander-Walker,4,4,50.00%,,,,,,
Curtis Rowe,2,4,33.33%,,Al Cervi,4,4,50.00%,,,,,,
Darnell Valentine,2,4,33.33%,,George Ratkovicz,4,4,50.00%,,,,,,
John Mahnken,1,4,20.00%,,Haywoode Workman,4,4,50.00%,,,,,,
Len Chappell,1,4,20.00%,,Robert Pack,4,4,50.00%,,,,,,
Randy Smith,1,4,20.00%,,Avery Bradley,4,4,50.00%,,,,,,
John Mengelt,1,4,20.00%,,Bismack Biyombo,4,4,50.00%,,,,,,
James Silas,1,4,20.00%,,Gene Wiley,4,4,50.00%,,,,,,
Billy McKinney,1,4,20.00%,,Larry Drew,4,4,50.00%,,,,,,
Cuttino Mobley,1,4,20.00%,,Ennis Whatley,4,4,50.00%,,,,,,
Brian Skinner,1,4,20.00%,,Frank Brickowski,4,4,50.00%,,,,,,
Yao Ming,1,4,20.00%,,Walt Williams,4,4,50.00%,,,,,,
Chuck Hayes,1,4,20.00%,,Kent Bazemore,4,4,50.00%,,,,,,
Hassan Whiteside,1,4,20.00%,,Dewayne Dedmon,4,4,50.00%,,,,,,
Tyus Jones,1,4,20.00%,,Al McGuire,4,4,50.00%,,,,,,
Dillon Brooks,1,4,20.00%,,Jerry Fleishman,4,4,50.00%,,,,,,
Pete Maravich,1,4,20.00%,,Dwight Jones,4,4,50.00%,,,,,,
Jeff Ruland,1,4,20.00%,,Rick Brunson,4,4,50.00%,,,,,,
Wayman Tisdale,1,4,20.00%,,Woody Sauldsberry,3,3,50.00%,,,,,,
Ben Gordon,1,4,20.00%,,Delaney Rudd,3,3,50.00%,,,,,,
Cliff Robinson,0,4,0.00%,,Pablo Prigioni,3,3,50.00%,,,,,,
Rumeal Robinson,0,4,0.00%,,Julius Randle,3,3,50.00%,,,,,,
Evan Fournier,0,4,0.00%,,Doug Collins,3,3,50.00%,,,,,,
Luc Longley,14,4,77.78%,,Mitchell Wiggins,3,3,50.00%,,,,,,
Charles Johnson,12,4,75.00%,,Drazen Petrovic,3,3,50.00%,,,,,,
Jud Buechler,13,4,76.47%,,Ted McClain,3,3,50.00%,,,,,,
Kevin Love,14,4,77.78%,,Kristaps Porzingis,3,3,50.00%,,,,,,
Bob Harrison,13,4,76.47%,,Raef LaFrentz,3,3,50.00%,,,,,,
Joel Anthony,12,4,75.00%,,Fred Jones,3,3,50.00%,,,,,,
Don Chaney,10,4,71.43%,,Neil Johnston,3,3,50.00%,,,,,,
Kentavious Caldwell-Pope,9,4,69.23%,,Dave Twardzik,3,3,50.00%,,,,,,
Michael Porter,9,4,69.23%,,Cody Zeller,3,3,50.00%,,,,,,
Norm Nixon,9,4,69.23%,,Jarred Vanderbilt,3,3,50.00%,,,,,,
Luke Kornet,9,4,69.23%,,Ricky Sobers,3,3,50.00%,,,,,,
Aaron Nesmith,7,4,63.64%,,Mike Bantom,3,3,50.00%,,,,,,
Hot Rod Hundley,7,4,63.64%,,Rowland Garrett,3,3,50.00%,,,,,,
Hubert Davis,7,4,63.64%,,Louis Amundson,3,3,50.00%,,,,,,
Aaron Williams,8,4,66.67%,,Juwan Morgan,3,3,50.00%,,,,,,
Aron Baynes,8,4,66.67%,,Terry Furlow,3,3,50.00%,,,,,,
Obi Toppin,6,4,60.00%,,Micheal Williams,3,3,50.00%,,,,,,
Phil Smith,6,4,60.00%,,Amir Coffey,3,3,50.00%,,,,,,
Mikal Bridges,6,4,60.00%,,Jack George,3,3,50.00%,,,,,,
Tom Gola,5,4,55.56%,,Russ Schoene,3,3,50.00%,,,,,,
Tiny Archibald,6,4,60.00%,,Dick Garmaker,3,3,50.00%,,,,,,
Daniel Gibson,7,4,63.64%,,Sonny Hertzberg,3,3,50.00%,,,,,,
Billy Kenville,6,4,60.00%,,Lloyd Walton,3,3,50.00%,,,,,,
Lucius Allen,5,4,55.56%,,Larry Nance Jr,3,3,50.00%,,,,,,
Devin Booker,5,4,55.56%,,Leon Wood,3,3,50.00%,,,,,,
Daniel Theis,6,4,60.00%,,Mark McNamara,3,3,50.00%,,,,,,
Billy Cunningham,4,4,50.00%,,Mark Strickland,3,3,50.00%,,,,,,
Johnny Egan,5,4,55.56%,,Major Jones,3,3,50.00%,,,,,,
Jim Chones,4,4,50.00%,,Jeff Turner,3,3,50.00%,,,,,,
Xavier Tillman,5,4,55.56%,,Toney Douglas,3,3,50.00%,,,,,,
Keith Bogans,4,4,50.00%,,Brian Cardinal,3,3,50.00%,,,,,,
Ryan Hollins,4,4,50.00%,,Bol Bol,3,3,50.00%,,,,,,
Fred Hetzel,4,4,50.00%,,Wayne Hightower,2,2,50.00%,,,,,,
John Tresvant,4,4,50.00%,,Leonard Gray,2,2,50.00%,,,,,,
Ralph Sampson,4,4,50.00%,,Leon Douglas,2,2,50.00%,,,,,,
Darrell Walker,5,4,55.56%,,Perry Moss,2,2,50.00%,,,,,,
Dick Snyder,4,4,50.00%,,James Singleton,2,2,50.00%,,,,,,
Jordan Clarkson,4,4,50.00%,,Ime Udoka,2,2,50.00%,,,,,,
Nickeil Alexander-Walker,4,4,50.00%,,Eric Maynor,2,2,50.00%,,,,,,
Al Cervi,4,4,50.00%,,Johnny Macknowski,2,2,50.00%,,,,,,
George Ratkovicz,4,4,50.00%,,Johnny Norlander,2,2,50.00%,,,,,,
Flynn Robinson,3,4,42.86%,,Toby Kimball,2,2,50.00%,,,,,,
Brad Sellers,3,4,42.86%,,Winston Garland,2,2,50.00%,,,,,,
Haywoode Workman,4,4,50.00%,,Matt Maloney,2,2,50.00%,,,,,,
Gary Neal,5,4,55.56%,,Frank Kaminsky,2,2,50.00%,,,,,,
Abdel Nader,3,4,42.86%,,Tariq Abdul-Wahad,2,2,50.00%,,,,,,
Antoine Wright,3,4,42.86%,,Bostjan Nachbar,2,2,50.00%,,,,,,
George McGinnis,3,4,42.86%,,Martell Webster,2,2,50.00%,,,,,,
Darren Daye,3,4,42.86%,,Ramon Sessions,2,2,50.00%,,,,,,
Greg Monroe,3,4,42.86%,,DeAndre Liggins,2,2,50.00%,,,,,,
Victor Oladipo,3,4,42.86%,,Jeremy Lamb,2,2,50.00%,,,,,,
Danuel House,3,4,42.86%,,Chris Boucher,2,2,50.00%,,,,,,
Clem Haskins,2,4,33.33%,,Mickey Davis,2,2,50.00%,,,,,,
John Long,3,4,42.86%,,Rod Thorn,2,2,50.00%,,,,,,
Jim Price,2,4,33.33%,,Joe Kopicki,2,2,50.00%,,,,,,
Robert Smith,2,4,33.33%,,Jim McIlvaine,2,2,50.00%,,,,,,
Ed Pinckney,3,4,42.86%,,Damien Wilkins,2,2,50.00%,,,,,,
Linas Kleiza,2,4,33.33%,,Javonte Green,2,2,50.00%,,,,,,
Lavoy Allen,3,4,42.86%,,Nate Hawthorne,2,2,50.00%,,,,,,
Will Barton,2,4,33.33%,,Jim Seminoff,2,2,50.00%,,,,,,
Robert Covington,2,4,33.33%,,Mickey Rottner,2,2,50.00%,,,,,,
D'Angelo Russell,2,4,33.33%,,Bayard Forrest,2,2,50.00%,,,,,,
Rui Hachimura,2,4,33.33%,,James Bailey,2,2,50.00%,,,,,,
Precious Achiuwa,2,4,33.33%,,Rod Foster,2,2,50.00%,,,,,,
Kenny Walker,2,4,33.33%,,Mark Acres,2,2,50.00%,,,,,,
Kenny Williams,2,4,33.33%,,Greg Grant,2,2,50.00%,,,,,,
Kemba Walker,2,4,33.33%,,Bob Thornton,2,2,50.00%,,,,,,
Troy Daniels,2,4,33.33%,,Chris Kaman,2,2,50.00%,,,,,,
Tyler Johnson,2,4,33.33%,,Greg Stiemsma,2,2,50.00%,,,,,,
Jarrett Allen,2,4,33.33%,,Pero Antic,2,2,50.00%,,,,,,
De'Anthony Melton,2,4,33.33%,,Anthony Morrow,2,2,50.00%,,,,,,
Hub Reed,1,4,20.00%,,Lonnie Walker,2,2,50.00%,,,,,,
Ray Scott,1,4,20.00%,,PJ Dozier,2,2,50.00%,,,,,,
John Barnhill,1,4,20.00%,,Erwin Mueller,2,2,50.00%,,,,,,
Charlie Criss,2,4,33.33%,,Eddie Jordan,2,2,50.00%,,,,,,
Elliot Perry,2,4,33.33%,,Hank McDowell,2,2,50.00%,,,,,,
Vin Baker,1,4,20.00%,,Dick O'Keefe,2,2,50.00%,,,,,,
Andray Blatche,1,4,20.00%,,Leo Katkaveck,2,2,50.00%,,,,,,
Jason Smith,1,4,20.00%,,Don Barksdale,2,2,50.00%,,,,,,
Mirza Teletovic,1,4,20.00%,,Sam Williams,2,2,50.00%,,,,,,
Josh Richardson,1,4,20.00%,,Derek Smith,2,2,50.00%,,,,,,
Caris LeVert,1,4,20.00%,,Juan Dixon,2,2,50.00%,,,,,,
Ja Morant,1,4,20.00%,,Kyle Singler,2,2,50.00%,,,,,,
Desmond Bane,1,4,20.00%,,Noah Vonleh,2,2,50.00%,,,,,,
Jaren Jackson Jr,1,4,20.00%,,Ishmail Wainright,2,2,50.00%,,,,,,
Tim McCormick,1,4,20.00%,,Al Masino,2,2,50.00%,,,,,,
Sherman Douglas,1,4,20.00%,,Joe Ruklick,2,2,50.00%,,,,,,
Ryan Bowen,1,4,20.00%,,Charles Bradley,2,2,50.00%,,,,,,
Andres Nocioni,1,4,20.00%,,Petur Gudmundsson,2,2,50.00%,,,,,,
Elmore Smith,0,4,0.00%,,James Anderson,2,2,50.00%,,,,,,
Ron Brewer,0,4,0.00%,,Hasheem Thabeet,2,2,50.00%,,,,,,
Malik Sealy,0,4,0.00%,,John Jenkins,2,2,50.00%,,,,,,
Eric Montross,0,4,0.00%,,Matt Thomas,2,2,50.00%,,,,,,
Dean Garrett,0,4,0.00%,,Romeo Langford,2,2,50.00%,,,,,,
TJ Ford,0,4,0.00%,,Rayjon Tucker,2,2,50.00%,,,,,,
Dante Cunningham,0,4,0.00%,,Skylar Mays,2,2,50.00%,,,,,,
Nikola Vucevic,0,4,0.00%,,Nathan Knight,2,2,50.00%,,,,,,
Mehmet Okur,10,4,71.43%,,Howie Jolliff,2,2,50.00%,,,,,,
Andrew Bynum,10,4,71.43%,,Rick Roberson,2,2,50.00%,,,,,,
Rick Robey,8,4,66.67%,,Dorie Murrey,2,2,50.00%,,,,,,
David Lee,6,4,60.00%,,Jarvis Hayes,2,2,50.00%,,,,,,
Jerry Sichting,7,4,63.64%,,James Young,2,2,50.00%,,,,,,
Kerry Kittles,7,4,63.64%,,Zach Collins,2,2,50.00%,,,,,,
Lucious Harris,7,4,63.64%,,Troy Brown,2,2,50.00%,,,,,,
Chucky Brown,6,4,60.00%,,Jerrod Mustaf,2,2,50.00%,,,,,,
Bryn Forbes,6,4,60.00%,,George Johnson (1956),2,2,50.00%,,,,,,
Jodie Meeks,5,4,55.56%,,Ed Rains,2,2,50.00%,,,,,,
Haywood Highsmith,5,4,55.56%,,James White,2,2,50.00%,,,,,,
Red Holzman,5,4,55.56%,,Ben McDonald,2,2,50.00%,,,,,,
Arnie Johnson,5,4,55.56%,,Mario Bennett,2,2,50.00%,,,,,,
Robert Pack,4,4,50.00%,,Shawnelle Scott,2,2,50.00%,,,,,,
Sean Rooks,5,4,55.56%,,Wendell Moore,2,2,50.00%,,,,,,
Devin Brown,5,4,55.56%,,Andrew Levane,1,1,50.00%,,,,,,
Avery Bradley,4,4,50.00%,,Dick Rosenthal,1,1,50.00%,,,,,,
Bismack Biyombo,4,4,50.00%,,Lou Tsioropoulos,1,1,50.00%,,,,,,
Semi Ojeleye,5,4,55.56%,,Bob McNeill,1,1,50.00%,,,,,,
Gene Wiley,4,4,50.00%,,Gary Hill,1,1,50.00%,,,,,,
Larry Drew,4,4,50.00%,,Walker Russell Sr,1,1,50.00%,,,,,,
Steve Scheffler,5,4,55.56%,,Bob O'Brien,1,1,50.00%,,,,,,
Zeke Nnaji,5,4,55.56%,,Hank Beenders,1,1,50.00%,,,,,,
Ennis Whatley,4,4,50.00%,,Wilbert Kautz,1,1,50.00%,,,,,,
Frank Brickowski,4,4,50.00%,,Carl Shaeffer,1,1,50.00%,,,,,,
Joel Kramer,3,4,42.86%,,Mal McMullen,1,1,50.00%,,,,,,
Walt Williams,4,4,50.00%,,Gerry Calabrese,1,1,50.00%,,,,,,
Tony Bradley,3,4,42.86%,,Don Boven,1,1,50.00%,,,,,,
Shelvin Mack,3,4,42.86%,,Bob Carney,1,1,50.00%,,,,,,
Reggie Bullock,3,4,42.86%,,Bob Schafer,1,1,50.00%,,,,,,
Dave Piontek,2,4,33.33%,,Jack Stephens,1,1,50.00%,,,,,,
Butch Van Breda Kolff,2,4,33.33%,,Vern Hatton,1,1,50.00%,,,,,,
Mike Farmer,2,4,33.33%,,Charlie Hardnett,1,1,50.00%,,,,,,
Jerry Reynolds,3,4,42.86%,,Greg Fillmore,1,1,50.00%,,,,,,
Pete Myers,3,4,42.86%,,Chuck Lowery,1,1,50.00%,,,,,,
Brad Lohaus,3,4,42.86%,,Ron Riley,1,1,50.00%,,,,,,
Jack Haley,3,4,42.86%,,Ed Ratleff,1,1,50.00%,,,,,,
Mark Blount,2,4,33.33%,,Gus Bailey,1,1,50.00%,,,,,,
Ronnie Price,2,4,33.33%,,Bobby Wilson,1,1,50.00%,,,,,,
Hilton Armstrong,2,4,33.33%,,Luke Witte,1,1,50.00%,,,,,,
Josh McRoberts,2,4,33.33%,,Dwight Davis,1,1,50.00%,,,,,,
Andre Roberson,2,4,33.33%,,Sonny Parker,1,1,50.00%,,,,,,
Tyler Zeller,2,4,33.33%,,Goo Kennedy,1,1,50.00%,,,,,,
Bob Lavoy,3,4,42.86%,,Ron Boone,1,1,50.00%,,,,,,
Bob Donham,2,4,33.33%,,J.J. Anderson,1,1,50.00%,,,,,,
Foots Walker,2,4,33.33%,,Jerry Eaves,1,1,50.00%,,,,,,
Coby Dietrick,2,4,33.33%,,Bill Garnett,1,1,50.00%,,,,,,
Randy Livingston,2,4,33.33%,,Pace Mannion,1,1,50.00%,,,,,,
Nenad Krstic,2,4,33.33%,,Greg Stokes,1,1,50.00%,,,,,,
Trey Burke,2,4,33.33%,,Jerome Whitehead,1,1,50.00%,,,,,,
Luke Kennard,2,4,33.33%,,Eddie Hughes,1,1,50.00%,,,,,,
Bob Hopkins,2,4,33.33%,,Bart Kofoed,1,1,50.00%,,,,,,
Campy Russell,1,4,20.00%,,Tom Tolbert,1,1,50.00%,,,,,,
Danny Vranes,1,4,20.00%,,Tony Bennett,1,1,50.00%,,,,,,
Richard Anderson,1,4,20.00%,,Cory Alexander,1,1,50.00%,,,,,,
Joe Barry Carroll,1,4,20.00%,,Reggie Geary,1,1,50.00%,,,,,,
Chris Mills,1,4,20.00%,,Corey Beck,1,1,50.00%,,,,,,
Darius Songaila,1,4,20.00%,,Todd Fuller,1,1,50.00%,,,,,,
Jared Jeffries,1,4,20.00%,,Ira Bowman,1,1,50.00%,,,,,,
Brandon Jennings,1,4,20.00%,,Todd Day,1,1,50.00%,,,,,,
John Konchar,1,4,20.00%,,Toby Bailey,1,1,50.00%,,,,,,
Ben Warley,1,4,20.00%,,Lee Nailon,1,1,50.00%,,,,,,
Clarence Weatherspoon,1,4,20.00%,,Danny Fortson,1,1,50.00%,,,,,,
Len Elmore,0,4,0.00%,,Quinton Ross,1,1,50.00%,,,,,,
Steve Johnson,0,4,0.00%,,Corey Maggette,1,1,50.00%,,,,,,
Greg Dreiling,0,4,0.00%,,Marcus D. Williams,1,1,50.00%,,,,,,
Rony Seikaly,0,4,0.00%,,Hassan Adams,1,1,50.00%,,,,,,
Rex Chapman,0,4,0.00%,,Josh Boone,1,1,50.00%,,,,,,
Shammond Williams,0,4,0.00%,,JJ Hickson,1,1,50.00%,,,,,,
Al Jefferson,0,4,0.00%,,Marquis Teague,1,1,50.00%,,,,,,
Glenn Robinson III,0,4,0.00%,,Marcus Thornton,1,1,50.00%,,,,,,
Domantas Sabonis,0,4,0.00%,,Thomas Robinson,1,1,50.00%,,,,,,
James Posey,8,4,66.67%,,Brian Roberts,1,1,50.00%,,,,,,
Slick Leonard,5,4,55.56%,,Luis Montero,1,1,50.00%,,,,,,
Hank Finkel,5,4,55.56%,,Sheldon Mac,1,1,50.00%,,,,,,
Derek Anderson,5,4,55.56%,,Jonah Bolden,1,1,50.00%,,,,,,
Kent Bazemore,4,4,50.00%,,Gary Clark,1,1,50.00%,,,,,,
Dewayne Dedmon,4,4,50.00%,,Quentin Grimes,1,1,50.00%,,,,,,
Al McGuire,4,4,50.00%,,Anthony Lamb,1,1,50.00%,,,,,,
Chuck Nevitt,7,4,63.64%,,Brandin Podziemski,1,1,50.00%,,,,,,
Jerry Fleishman,4,4,50.00%,,Quinten Post,1,1,50.00%,,,,,,
Dwight Jones,4,4,50.00%,,Gui Santos,1,1,50.00%,,,,,,
Moe Harkless,3,4,42.86%,,Pat Spencer,1,1,50.00%,,,,,,
Tony Brown,3,4,42.86%,,Bill Davis,1,1,50.00%,,,,,,
Isaiah Thomas,2,4,33.33%,,Joe Colone,1,1,50.00%,,,,,,
Bill Turner,2,4,33.33%,,Gene James,1,1,50.00%,,,,,,
Louis Orr,2,4,33.33%,,Ray Ragelis,1,1,50.00%,,,,,,
Etan Thomas,2,4,33.33%,,Mo Mahoney,1,1,50.00%,,,,,,
Ekpe Udoh,2,4,33.33%,,Norm Swanson,1,1,50.00%,,,,,,
Dave Robisch,1,4,20.00%,,Lennie Rosenbluth,1,1,50.00%,,,,,,
Micheal Ray Richardson,1,4,20.00%,,Swede Halbrook,1,1,50.00%,,,,,,
Kelvin Ransey,1,4,20.00%,,York Larese,1,1,50.00%,,,,,,
Lester Conner,2,4,33.33%,,Ted Luckenbill,1,1,50.00%,,,,,,
Michael Ruffin,1,4,20.00%,,Bob Duffy (1940),1,1,50.00%,,,,,,
Jeff Lamp,1,4,20.00%,,Larry Jones,1,1,50.00%,,,,,,
Jack Kerris,1,4,20.00%,,Mike Price,1,1,50.00%,,,,,,
Reggie Theus,1,4,20.00%,,Owen Wells,1,1,50.00%,,,,,,
Earl Clark,1,4,20.00%,,Henry Dickerson,1,1,50.00%,,,,,,
Jim Baechtold,0,4,0.00%,,Sidney Wicks,1,1,50.00%,,,,,,
Jon Sundvold,0,4,0.00%,,Fred Saunders,1,1,50.00%,,,,,,
Alvin Robertson,0,4,0.00%,,Al Skinner,1,1,50.00%,,,,,,
Duane Causwell,0,4,0.00%,,Jeff Judkins,1,1,50.00%,,,,,,
Tom Gugliotta,0,4,0.00%,,Michael Young,1,1,50.00%,,,,,,
Iakovos Tsakalidis,0,4,0.00%,,Scott Roth,1,1,50.00%,,,,,,
John Henson,0,4,0.00%,,Andre Turner,1,1,50.00%,,,,,,
Andre Drummond,0,4,0.00%,,Victor Alexander,1,1,50.00%,,,,,,
Rick Brunson,4,4,50.00%,,Steve Burtt,1,1,50.00%,,,,,,
Jon Leuer,2,4,33.33%,,Marty Conlon,1,1,50.00%,,,,,,
Stan Miasek,1,4,20.00%,,Jo Jo English,1,1,50.00%,,,,,,
Uwe Blab,1,4,20.00%,,Skeeter Henry,1,1,50.00%,,,,,,
Lorenzen Wright,0,4,0.00%,,Trevor Ruffin,1,1,50.00%,,,,,,
Bill Russell,27,3,90.00%,,Olivier-Maxence Prosper,1,1,50.00%,,,,,,
Sam Jones,25,3,89.29%,,Rodney White,1,1,50.00%,,,,,,
Frank Ramsey,16,3,84.21%,,Brandon Armstrong,1,1,50.00%,,,,,,
Kevon Looney,13,3,81.25%,,Daniel Ewing,1,1,50.00%,,,,,,
Wally Walker,12,3,80.00%,,Gabe Pruitt,1,1,50.00%,,,,,,
Greg Kite,14,3,82.35%,,Emeka Okafor,1,1,50.00%,,,,,,
Sam Vincent,10,3,76.92%,,Lester Hudson,1,1,50.00%,,,,,,
Beno Udrih,10,3,76.92%,,Josh Huestis,1,1,50.00%,,,,,,
Darvin Ham,9,3,75.00%,,Troy Williams,1,1,50.00%,,,,,,
Sam Hauser,8,3,72.73%,,Bobby Brown,1,1,50.00%,,,,,,
Fabricio Oberto,7,3,70.00%,,Darius Miller,1,1,50.00%,,,,,,
Art Williams,5,3,62.50%,,Cheick Diallo,1,1,50.00%,,,,,,
Matthew Dellavedova,7,3,70.00%,,Michael Frazier,1,1,50.00%,,,,,,
Caleb Martin,5,3,62.50%,,Talen Horton-Tucker,1,1,50.00%,,,,,,
Deandre Ayton,5,3,62.50%,,Reggie Perry,1,1,50.00%,,,,,,
Wally Osterkorn,5,3,62.50%,,Mike James (1990),1,1,50.00%,,,,,,
Dave Stallworth,4,3,57.14%,,Bruno Fernando,1,1,50.00%,,,,,,
John Gianelli,5,3,62.50%,,Jay Scrubb,1,1,50.00%,,,,,,
Felton Spencer,4,3,57.14%,,Jarrett Culver,1,1,50.00%,,,,,,
Shai Gilgeous-Alexander,5,3,62.50%,,Jalen McDaniels,1,1,50.00%,,,,,,
Josh Hart,4,3,57.14%,,Josh Giddey,1,1,50.00%,,,,,,
Miles McBride,4,3,57.14%,,Craig Porter,1,1,50.00%,,,,,,
Paul Noel,5,3,62.50%,,Ty Jerome,1,1,50.00%,,,,,,
Tom Meschery,4,3,57.14%,,JD Davison,1,1,50.00%,,,,,,
Charlie Scott,4,3,57.14%,,Baylor Scheierman,1,1,50.00%,,,,,,
Herm Gilliam,4,3,57.14%,,Ariel Hukporti,1,1,50.00%,,,,,,
Jaden McDaniels,4,3,57.14%,,Dick Surhoff,1,1,50.00%,,,,,,
Naz Reid,4,3,57.14%,,Sherwin Raiken,1,1,50.00%,,,,,,
Woody Sauldsberry,3,3,50.00%,,Fred LaCour,1,1,50.00%,,,,,,
Delaney Rudd,3,3,50.00%,,Chet Carlisle,1,1,50.00%,,,,,,
Pablo Prigioni,3,3,50.00%,,Doyle Parrack,1,1,50.00%,,,,,,
Julius Randle,3,3,50.00%,,Bob Cluggish,1,1,50.00%,,,,,,
Tom Boswell,5,3,62.50%,,Leo Gottlieb,1,1,50.00%,,,,,,
Doug Collins,3,3,50.00%,,Aud Brindley,1,1,50.00%,,,,,,
Mitchell Wiggins,3,3,50.00%,,Paul Huston,1,1,50.00%,,,,,,
Drazen Petrovic,3,3,50.00%,,Ben Schadler,1,1,50.00%,,,,,,
Ted McClain,3,3,50.00%,,Larry Staverman,1,1,50.00%,,,,,,
Mitch Richmond,4,3,57.14%,,Dave Lattin,1,1,50.00%,,,,,,
Kristaps Porzingis,3,3,50.00%,,Rex Morgan,1,1,50.00%,,,,,,
Raef LaFrentz,3,3,50.00%,,Dave Wohl,1,1,50.00%,,,,,,
Fred Jones,3,3,50.00%,,Robert Hawkins,1,1,50.00%,,,,,,
Jason Hart,4,3,57.14%,,Earl Tatum,1,1,50.00%,,,,,,
Bucky Bockhorn,2,3,40.00%,,C.J. Kupec,1,1,50.00%,,,,,,
Chico Vaughn,2,3,40.00%,,Bo Lamar,1,1,50.00%,,,,,,
Kevin Kunnert,2,3,40.00%,,Glenn Mosley,1,1,50.00%,,,,,,
Reggie King,2,3,40.00%,,Craig Dykema,1,1,50.00%,,,,,,
Keon Clark,2,3,40.00%,,Pete Williams,1,1,50.00%,,,,,,
Gordan Giricek,2,3,40.00%,,Michael Brooks,1,1,50.00%,,,,,,
Onyeka Okongwu,2,3,40.00%,,Kenny Payne,1,1,50.00%,,,,,,
Trae Young,2,3,40.00%,,Lanard Copeland,1,1,50.00%,,,,,,
Kevin Huerter,2,3,40.00%,,Corey Crowder,1,1,50.00%,,,,,,
John Collins,2,3,40.00%,,Jay Guidinger,1,1,50.00%,,,,,,
Eddie Miles,2,3,40.00%,,Darnell Mee,1,1,50.00%,,,,,,
Eric Money,2,3,40.00%,,Walter Bond,1,1,50.00%,,,,,,
DeMarcus Cousins,2,3,40.00%,,Priest Lauderdale,1,1,50.00%,,,,,,
Erick Strickland,2,3,40.00%,,Greg Graham,1,1,50.00%,,,,,,
Kevin Martin,2,3,40.00%,,Travis Williams,1,1,50.00%,,,,,,
De'Andre Hunter,2,3,40.00%,,Jeff Sheppard,1,1,50.00%,,,,,,
Evan Mobley,2,3,40.00%,,Roshown McLeod,1,1,50.00%,,,,,,
