NAME,W,L,,,NAME,W,L,% W,,NAME,TOT,W,L,% W
Eddie Johnson,9,10,47.37%,,Robert Horry,39,9,81.25%,,Zydrunas Ilgauskas,16,10,6,62.50%
Otis Thorpe,7,10,41.18%,,John Havlicek,26,6,81.25%,,Eddie House,16,10,6,62.50%
CJ McCollum,4,10,28.57%,,Kevon Looney,13,3,81.25%,,Tony Campbell,16,10,6,62.50%
Joe Kleine,4,10,28.57%,,Josh Powell,13,3,81.25%,,Wilt Chamberlain,29,18,11,62.07%
Walter Davis,8,10,44.44%,,Michael Jordan,30,7,81.08%,,Richard Jefferson,29,18,11,62.07%
Dave Corzine,6,10,37.50%,,Will Perdue,21,5,80.77%,,Paul Westphal,21,13,8,61.90%
Pau Gasol,16,10,61.54%,,Draymond Green,25,6,80.65%,,Mike Miller,21,13,8,61.90%
Nazr Mohammed,16,10,61.54%,,Magic Johnson,32,8,80.00%,,Shane Battier,21,13,8,61.90%
Byron Scott,29,9,76.32%,,Stephen Curry,24,6,80.00%,,Pau Gasol,26,16,10,61.54%
Bobby Jones,16,9,64.00%,,James Worthy,24,6,80.00%,,Nazr Mohammed,26,16,10,61.54%
Oscar Robertson,8,9,47.06%,,Steve Kerr,24,6,80.00%,,Nick Collison,18,11,7,61.11%
Doc Rivers,8,9,47.06%,,Ron Harper,20,5,80.00%,,Lionel Hollins,18,11,7,61.11%
Taj Gibson,4,9,30.77%,,Rick Fox,20,5,80.00%,,Reggie Jackson,18,11,7,61.11%
Bob Lanier,4,9,30.77%,,Wally Walker,12,3,80.00%,,Kevin Grevey,18,11,7,61.11%
Patrick Beverley,4,9,30.77%,,Festus Ezeli,8,2,80.00%,,Eric Snow,23,14,9,60.87%
Larry Bird,23,9,71.88%,,Alex Caruso,8,2,80.00%,,Jeff Hornacek,28,17,11,60.71%
Ray Allen,21,9,70.00%,,Steve Kuberski,8,2,80.00%,,Jerry West,28,17,11,60.71%
Michael Finley,15,9,62.50%,,Ian Clark,8,2,80.00%,,Chauncey Billups,28,17,11,60.71%
Dick Barnett,13,9,59.09%,,Larry Spriggs,8,2,80.00%,,Rasheed Wallace,33,20,13,60.61%
Gus Williams,11,9,55.00%,,Glenn McDonald,4,1,80.00%,,Kyle Lowry,25,15,10,60.00%
Shawn Marion,13,9,59.09%,,Jim Ard,4,1,80.00%,,Greg Anthony,20,12,8,60.00%
John Starks,10,9,52.63%,,Dion Waiters,4,1,80.00%,,Jacque Vaughn,20,12,8,60.00%
Jeff Mullins,9,9,50.00%,,Greg Smith (1947),4,1,80.00%,,Torrey Craig,15,9,6,60.00%
Antonio Davis,9,9,50.00%,,Derrek Dickey,4,1,80.00%,,Marquis Daniels,15,9,6,60.00%
Deron Williams,8,9,47.06%,,Richard Dumas,4,1,80.00%,,Ian Mahinmi,15,9,6,60.00%
Rudy Gobert,7,9,43.75%,,Ralph Kaplowitz,4,1,80.00%,,Chris Andersen,15,9,6,60.00%
Mark Eaton,6,9,40.00%,,Ousmane Dieng,4,1,80.00%,,Gerald Green,15,9,6,60.00%
Nate Thurmond,6,9,40.00%,,Joe Hutton,4,1,80.00%,,Rick Barry,15,9,6,60.00%
Thurl Bailey,5,9,35.71%,,Lloyd Neal,4,1,80.00%,,Dick Barnett,22,13,9,59.09%
Jerry Stackhouse,5,9,35.71%,,David Thirdkill,4,1,80.00%,,Shawn Marion,22,13,9,59.09%
Kirk Hinrich,5,9,35.71%,,Sviatoslav Mykhailiuk,4,1,80.00%,,Boris Diaw,22,13,9,59.09%
Lou Hudson,4,9,30.77%,,Carlos Clark,4,1,80.00%,,Fred Brown,17,10,7,58.82%
Jim Paxson,4,9,30.77%,,Jordan Nwora,4,1,80.00%,,Adam Keefe,17,10,7,58.82%
LaMarcus Aldridge,4,9,30.77%,,Walt Davis,4,1,80.00%,,Cory Joseph,17,10,7,58.82%
Harvey Catchings,5,9,35.71%,,Pete Chilcutt,4,1,80.00%,,Connie Simmons,17,10,7,58.82%
Larry Costello,4,9,30.77%,,Howie Schultz,4,1,80.00%,,Zaza Pachulia,17,10,7,58.82%
Tracy McGrady,3,9,25.00%,,Rick Carlisle,4,1,80.00%,,Al Horford,36,21,15,58.33%
Horace Grant,27,9,75.00%,,Adrian Branch,4,1,80.00%,,Sean Elliott,19,11,8,57.89%
Udonis Haslem,22,9,70.97%,,Brooks Thompson,4,1,80.00%,,Dahntay Jones,19,11,8,57.89%
A.C. Green,23,9,71.88%,,Slater Martin,19,5,79.17%,,Herb Williams,19,11,8,57.89%
Kawhi Leonard,19,9,67.86%,,Jordan Farmar,11,3,78.57%,,Elgin Baylor,26,15,11,57.69%
Mychal Thompson,16,9,64.00%,,Norris Cole,11,3,78.57%,,Elden Campbell,26,15,11,57.69%
Tony Allen,12,9,57.14%,,Derek Fisher,40,11,78.43%,,Maurice Cheeks,28,16,12,57.14%
Trevor Ariza,11,9,55.00%,,Vern Mikkelsen,18,5,78.26%,,Tony Allen,21,12,9,57.14%
Boris Diaw,13,9,59.09%,,Mario Chalmers,14,4,77.78%,,Avery Johnson,21,12,9,57.14%
Marcus Smart,11,9,55.00%,,Chris Bosh,14,4,77.78%,,Darryl Dawkins,23,13,10,56.52%
Greg Ostertag,10,9,52.63%,,Luc Longley,14,4,77.78%,,Marcin Gortat,16,9,7,56.25%
Thabo Sefolosha,10,9,52.63%,,Kevin Love,14,4,77.78%,,Gail Goodrich,16,9,7,56.25%
Elvin Hayes,9,9,50.00%,,Isaiah Hartenstein,7,2,77.78%,,Rolando Blackman,16,9,7,56.25%
Pat Connaughton,9,9,50.00%,,Whitey Skoog,7,2,77.78%,,Jack Coleman,16,9,7,56.25%
Rudy LaRusso,8,9,47.06%,,Stanislav Medvedenko,7,2,77.78%,,Charlie Ward,16,9,7,56.25%
Harry Gallatin,9,9,50.00%,,Tony Jaros,7,2,77.78%,,Keith Erickson,16,9,7,56.25%
Antonio Daniels,8,9,47.06%,,Timofey Mozgov,7,2,77.78%,,Mike Dunleavy Sr,16,9,7,56.25%
Ervin Johnson,7,9,43.75%,,BJ Armstrong,17,5,77.27%,,Cameron Payne,16,9,7,56.25%
Rodney Rogers,8,9,47.06%,,James Jones,27,8,77.14%,,Earl Monroe,16,9,7,56.25%
Jim King,5,9,35.71%,,Don Nelson,20,6,76.92%,,Paul Seymour,18,10,8,55.56%
Radoslav Nesterovic,6,9,40.00%,,Sam Vincent,10,3,76.92%,,Antonio McDyess,18,10,8,55.56%
Eduardo Najera,4,9,30.77%,,Beno Udrih,10,3,76.92%,,Maurice Lucas,18,10,8,55.56%
Hot Rod Williams,3,9,25.00%,,Kenny Smith,10,3,76.92%,,Clyde Lovellette,18,10,8,55.56%
Tim Hardaway,3,9,25.00%,,Scottie Pippen,33,10,76.74%,,Matt Barnes,18,10,8,55.56%
Sam Mitchell,4,9,30.77%,,Kobe Bryant,33,10,76.74%,,Danny Ferry,18,10,8,55.56%
Robert Horry,39,9,81.25%,,Jud Buechler,13,4,76.47%,,Paul Pierce,29,16,13,55.17%
Eric Snow,14,9,60.87%,,Bob Harrison,13,4,76.47%,,Hakeem Olajuwon,29,16,13,55.17%
Avery Johnson,12,9,57.14%,,Byron Scott,29,9,76.32%,,Patrick Ewing,29,16,13,55.17%
Jason Collins,11,9,55.00%,,Craig Hodges,16,5,76.19%,,Gus Williams,20,11,9,55.00%
Alvan Adams,8,9,47.06%,,Mike McGee,16,5,76.19%,,Trevor Ariza,20,11,9,55.00%
