,,YEAR,PLAYER,NB CODE,POS,BODY FAT %,HAND SIZE,WEIGHT (LBS),HEIGHT,STANDING,WINGSPAN,HEIGHT W/O SHOES,WINGSPAN,STANDING REACH,LANE AGILITY,SHUTTLE RUN,3/4 SPRINT,STANDING VERT,MAX VERT,MAX BENCH
2,2025,2023,Jordan Hawkins,Jordan Hawkins,SG,,72.1875,186,76.25,101.5,78.75,6' 4.25'',6' 6.75'',8' 5.50'',,,,,,
2,2025,2023,Jordan Miller,Jordan Miller,SF,,78.625,191.6,76.5,103.5,83.75,6' 4.50'',6' 11.75'',8' 7.50'',11.43,3.21,3.17,32,36.5,
2,2025,2023,Jordan Walsh,Jordan Walsh,SF,,74.375,204,77.75,107,85.75,6' 5.75'',7' 1.75'',8' 11.00'',10.83,,3.3,33,36,
-2023,,2023,Judiah Mintz,Judiah Mintz,PG,,76.3125,176.4,75,98,75.5,6' 3.00'',6' 3.50'',8' 2.00'',10.32,3.08,3.24,28.5,37,
2,2025,2023,Julian Phillips,Julian Phillips,SF,,76.5,196.6,78.75,102,83.5,6' 6.75'',6' 11.50'',8' 6.00'',11.09,,3.32,36,43,
2,2025,2023,Julian Strawther,Julian Strawther,SF,,68.0625,208.8,78,105,81.25,6' 6.00'',6' 9.25'',8' 9.00'',10.94,3.46,3.31,27.5,34.5,
1,2024,2023,Keyontae Johnson,Keyontae Johnson,SF,,81,238.6,76,103,84,6' 4.00'',7' 0.00'',8' 7.00'',,,,,,
2,2025,2023,Kobe Brown,Kobe Brown,PF,,85.3125,252.2,78.5,106.5,84.75,6' 6.50'',7' 0.75'',8' 10.50'',11.39,3.23,3.33,28.5,32,
2,2025,2023,Kobe Bufkin,Kobe Bufkin,SG,,74,186.8,76.25,102.5,79.75,6' 4.25'',6' 7.75'',8' 6.50'',11.71,,3.26,28.5,36,
2,2025,2023,Kris Murray,Kris Murray,PF,,76.5,212.8,79.75,106,83.75,6' 7.75'',6' 11.75'',8' 10.00'',11.05,,3.24,29.5,35,
2,2025,2023,Leonard Miller,Leonard Miller,PF,,99.75,212.8,81.25,106.5,86,6' 9.25'',7' 2.00'',8' 10.50'',11,,3.33,32,37.5,
2,2025,2023,Marcus Sasser,Marcus Sasser,PG,,83.125,195.6,73.25,99.5,79,6' 1.25'',6' 7.00'',8' 3.50'',10.68,,3.43,27,35,
2,2025,2023,Maxwell Lewis,Maxwell Lewis,SG,,83.125,207.2,78.25,104.5,84,6' 6.25'',7' 0.00'',8' 8.50'',11.4,,3.43,32.5,36.5,
-2023,,2023,Mike Miles Jr.,Mike Miles Jr.,PG,,66,205,72.75,96,72.5,6' 0.75'',6' 0.50'',8' 0.00'',11.01,3.25,3.11,33,37,
-2023,,2023,Mojave King,Mojave King,SG,,83.125,200.6,75.75,101,80,6' 3.75'',6' 8.00'',8' 5.00'',11.07,,3.18,33.5,42,
2,2025,2023,Mouhamed Gueye,Mouhamed Gueye,C,,90,212.6,82.25,110.5,87.25,6' 10.25'',7' 3.25'',9' 2.50'',,,,,,
-2023,,2023,Nikola Djurisic,Nikola Djurisic,SF,,78.375,217.6,79,102,80.25,6' 7.00'',6' 8.25'',8' 6.00'',,,,,,
2,2025,2023,Olivier-Maxence Prosper,Olivier-Maxence Prosper,PF,,82.5,212.4,78.75,104,85,6' 6.75'',7' 1.00'',8' 8.00'',10.59,3,3.21,35,40.5,
-2023,,2023,Omari Moore,Omari Moore,SG,,92.25,188.6,77.25,109.5,81.75,6' 5.25'',6' 9.75'',9' 1.50'',10.8,,3.22,23,29.5,
2,2025,2023,Oscar Tshiebwe,Oscar Tshiebwe,C,,99.9375,253.6,79.25,108,87.5,6' 7.25'',7' 3.50'',9' 0.00'',12.26,,3.32,29.5,32.5,
2,2025,2023,Rayan Rupert,Rayan Rupert,SF,,80.75,193.2,78,106,86,6' 6.00'',7' 2.00'',8' 10.00'',11.18,,3.43,27.5,32.5,
2,2025,2023,Reece Beekman,Reece Beekman,PG,,70.125,190.6,73.5,100.5,79,6' 1.50'',6' 7.00'',8' 4.50'',10.99,3.33,3.14,30.5,38,
2,2025,2023,Ricky Council IV,Ricky Council IV,SF,,65.875,208,77,103,81,6' 5.00'',6' 9.00'',8' 7.00'',11.2,3.12,3.33,30.5,37,
3,2026,2023,Ryan Kalkbrenner,Ryan Kalkbrenner,C,,101.75,251.8,84.75,112.5,89,7' 0.75'',7' 5.00'',9' 4.50'',12.27,,3.39,28,30.5,
1,2024,2023,Seth Lundy,Seth Lundy,SF,,76.5,214.4,76,104,82.25,6' 4.00'',6' 10.25'',8' 8.00'',11.02,,3.15,31.5,35.5,
2,2025,2023,Sidy Cissoko,Sidy Cissoko,SF,,92.5,223.8,77.5,104,81.75,6' 5.50'',6' 9.75'',8' 8.00'',11.24,,3.31,30.5,35.5,
2,2025,2023,Taylor Hendricks,Taylor Hendricks,PF,,94.8125,213.6,80.25,107,84.5,6' 8.25'',7' 0.50'',8' 11.00'',11.27,,3.32,32.5,36,
1,2024,2023,Terquavion Smith,Terquavion Smith,SG,,68,163.2,74.5,98,78.75,6' 2.50'',6' 6.75'',8' 2.00'',10.86,,3.21,30,37,
2,2025,2023,Terrence Shannon,Terrence Shannon Jr.,SF,,66,220,77.5,102,80,6' 5.50'',6' 8.00'',8' 6.00'',10.36,,3.06,32,37.5,
2,2025,2023,Toumani Camara,Toumani Camara,PF,,90,220.4,79,107,84.5,6' 7.00'',7' 0.50'',8' 11.00'',10.7,3.18,3.41,28.5,33,
2,2025,2023,Trayce Jackson-Davis,Trayce Jackson-Davis,C,,99.4375,240.4,80.25,106,85,6' 8.25'',7' 1.00'',8' 10.00'',11.8,3.16,3.2,33,36.5,
2,2025,2023,Trey Alexander,Trey Alexander,SG,,74.375,184.6,75.25,101.5,82,6' 3.25'',6' 10.00'',8' 5.50'',11.6,,3.35,29.5,34,
2,2025,2023,Tristan Vukcevic,Tristan Vukcevic,C,,92.25,223.4,83.25,111,86.5,6' 11.25'',7' 2.50'',9' 3.00'',11.71,3.24,3.43,26,30.5,
2,2025,2023,Zach Edey,Zach Edey,C,,107.25,306.4,87.25,115.5,94.5,7' 3.25'',7' 10.50'',9' 7.50'',11.37,,3.45,26,29.5,
3,2025,2022,Alondes Williams,Alondes Williams,SG,7.20%,78.625,209,75.75,102,79,6' 3.75'',6' 7.00'',8' 6.00'',10.96,3.11,3.15,30,35.5,
