,,YEAR,PLAYER,NB CODE,POS,BODY FAT %,HAND SIZE,WEIGHT (LBS),HEIGHT,STANDING,WINGSPAN,HEIGHT W/O SHOES,WINGSPAN,STANDING REACH,LANE AGILITY,SHUTTLE RUN,3/4 SPRINT,STANDING VERT,MAX VERT,MAX BENCH
7,2012,2005,Ike Diogu,Ike Diogu,PF,,,255.4,78.5,109,87.5,6' 6.5'',7' 3.5'',9' 1'',11.94,,3.45,28,31,21
2,2007,2005,Ivan McFarlin,Ivan McFarlin,PF,,,228.6,77.5,105.5,81,6' 5.5'',6' 9'',8' 9.5'',10.64,,3.27,26.5,32,10
-2005,,2005,Jared Homan,Jared Homan,CPF,,,248.2,79.75,104.5,85.25,6' 7.75'',7' 1.25'',8' 8.5'',,,,,,16
13,2018,2005,Jarrett Jack,Jarrett Jack,PG,,,197.6,74.5,100,79.5,6' 2.5'',6' 7.5'',8' 4'',10.87,,3.24,26,28.5,5
-2005,,2005,Jason Klotz,Jason Klotz,CPF,,,249.4,80.5,107.5,82,6' 8.5'',6' 10'',8' 11.5'',13.13,,3.68,21.5,27,12
10,2015,2005,Jason Maxiell,Jason Maxiell,PF,,,257.6,77,107,87.25,6' 5'',7' 3.25'',8' 11'',,,,,,
6,2011,2005,Jawad Williams,Jawad Williams,SF,,,218,79,106.5,85.25,6' 7'',7' 1.25'',8' 10.5'',11.39,,3.23,28,34,15
6,2011,2005,Joey Graham,Joey Graham,SF,,,216.6,77.25,104,80,6' 5.25'',6' 8'',8' 8'',10.62,,3.05,30,36,26
-2005,,2005,John Gilchrist,John Gilchrist,PG,,,195.2,73.25,96.5,81.25,6' 1.25'',6' 9.25'',8' 0.5'',11.48,,3.15,30.5,36.5,12
12,2017,2005,John Lucas III,John Lucas III,PG,,,154.4,69.25,92,72,5' 9.25'',6' 0'',7' 8'',10.44,,3.14,29,34,4
-2005,,2005,Juan Mendez,Juan Mendez,PFSF,,,231.4,77.25,106.5,84,6' 5.25'',7' 0'',8' 10.5'',11.7,,3.24,29,33,14
2,2007,2005,Julius Hodge,Julius Hodge,SGSF,,,202.2,78,107.5,84.5,6' 6'',7' 0.5'',8' 11.5'',10.89,,3.18,24.5,29,14
3,2008,2005,Keith Langford,Keith Langford,SGSF,,,203.2,74.25,101,81,6' 2.25'',6' 9'',8' 5'',11.38,,3.23,32,29.5,8
-2005,,2005,Kevin Pittsnogle,Kevin Pittsnogle,PF,,,259.2,81.25,106,82.5,6' 9.25'',6' 10.5'',8' 10'',,,,,,
-2005,,2005,Larry O'Bannon,Larry O'Bannon,SG,,,196,75,99.5,78,6' 3'',6' 6'',8' 3.5'',11.44,,3.18,31.5,36.5,17
2,2007,2005,Luke Schenscher,Luke Schenscher,C,,,241.6,83.75,111.5,89,6' 11.75'',7' 5'',9' 3.5'',12.4,,3.47,23.5,26.5,1
6,2011,2005,Luther Head,Luther Head,PGSG,,,178.8,74,98.5,77.25,6' 2'',6' 5.25'',8' 2.5'',11.12,,3.21,31.5,38.5,14
14,2019,2005,Marcin Gortat,Marcin Gortat,PFC,,,225.2,83,110,87.5,6' 11'',7' 3.5'',9' 2'',11.48,,3.33,29.5,36,18
-2005,,2005,Marcus Campbell,Marcus Campbell,C,,,280.4,82.25,114,90,6' 10.25'',7' 6'',9' 6'',,,,,,9
10,2015,2005,Martell Webster,Martell Webster,SF,,,229.6,78,106,83,6' 6'',6' 11'',8' 10'',11.39,,3.39,28,30.5,7
1,2006,2005,Martynas Andriuskevicius,Martynas Andriuskevicius,CPF,,,227.8,85.25,112.5,83.25,7' 1.25'',6' 11.25'',9' 4.5'',11.94,,3.42,24,27.5,0
15,2020,2005,Marvin Williams,Marvin Williams,PFSF,,,228.2,79,108,87.5,6' 7'',7' 3.5'',9' 0'',11.11,,3.17,29.5,35,12
-2005,,2005,Mike Bell,Mike Bell,SFPF,,,206.2,80.75,104.5,85.5,6' 8.75'',7' 1.5'',8' 8.5'',11.73,,3.29,33.5,39.5,13
-2005,,2005,Mindaugas Katelynas,Mindaugas Katelynas,SFPF,,,217,79.5,105.5,83,6' 7.5'',6' 11'',8' 9.5'',11.6,,3.38,31.5,35,7
12,2017,2005,Monta Ellis,Monta Ellis,SGPG,,,176.6,74.25,98,74.75,6' 2.25'',6' 2.75'',8' 2'',12.13,,3.31,26.5,31.5,0
-2005,,2005,Nemanja Aleksandrov,Nemanja Aleksandrov,PFSF,,,220.6,82,110,83,6' 10'',6' 11'',9' 2'',,,,,,5
-2005,,2005,Omar Thomas,Omar Thomas,SFSG,,,200,75.25,102,80,6' 3.25'',6' 8'',8' 6'',11.11,,3.27,25,29.5,6
4,2009,2005,Rashad McCants,Rashad McCants,SG,,,201,74.75,103.5,82.75,6' 2.75'',6' 10.75'',8' 7.5'',10.39,,3.11,32.5,34.5,15
2,2007,2005,Rawle Marshall,Rawle Marshall,SGSF,,,186.6,76.5,104,85,6' 4.5'',7' 1'',8' 8'',11.64,,3.21,30.5,37,7
14,2019,2005,Raymond Felton,Raymond Felton,PG,,,199.4,71.5,98,76.25,5' 11.5'',6' 4.25'',8' 2'',10.5,,3.06,29,33.5,6
1,2006,2005,Robert Whaley,Robert Whaley,PFC,,,269.4,80,108,86,6' 8'',7' 2'',9' 0'',12.11,,3.25,28.5,33.5,15
2,2007,2005,Roger Powell,Roger Powell,SF,,,218.6,76.75,104,83.5,6' 4.75'',6' 11.5'',8' 8'',,,,,,
12,2017,2005,Ronnie Price,Ronnie Price,PG,,,184.8,72.75,96.5,77.5,6' 0.75'',6' 5.5'',8' 0.5'',10.49,,3.29,31.5,39,11
10,2015,2005,Ronny Turiaf,Ronny Turiaf,PF,,,237.8,80,106.5,85.5,6' 8'',7' 1.5'',8' 10.5'',11.5,,3.23,30.5,33,15
7,2012,2005,Rudy Fernandez,Rudy Fernandez,SG,,,172,76.75,101.5,79.5,6' 4.75'',6' 7.5'',8' 5.5'',10.48,,3.33,26.5,35.5,0
-2005,,2005,Sean Banks,Sean Banks,SF,,,206.4,77.75,108,85,6' 5.75'',7' 1'',9' 0'',11.74,,3.35,25,31.5,7
5,2010,2005,Sean May,Sean May,PF,,,258.8,79,105,85.25,6' 7'',7' 1.25'',8' 9'',11.04,,3.29,30,33,12
1,2006,2005,Sharrod Ford,Sharrod Ford,PF,,,212.8,79.25,106,85.5,6' 7.25'',7' 1.5'',8' 10'',11.92,,3.2,28.5,37,9
-2005,,2005,Taylor Coppenrath,Taylor Coppenrath,PFSF,,,252.4,79.75,106.5,83.5,6' 7.75'',6' 11.5'',8' 10.5'',11.51,,3.44,24.5,27,5
5,2010,2005,Travis Diener,Travis Diener,PGSG,,,165.2,71.75,93.5,71.75,5' 11.75'',5' 11.75'',7' 9.5'',10.85,,3.26,24.5,31,1
-2005,,2005,Tre Simmons,Tre Simmons,SGSF,,,194.2,76,102.5,79.5,6' 4'',6' 7.5'',8' 6.5'',10.8,,3.18,27,31.5,3
2,2007,2005,Wayne Simien,Wayne Simien,PF,,,255.8,79.25,107,84,6' 7.25'',7' 0'',8' 11'',11.05,,3.35,27,27.5,11
10,2015,2005,Will Bynum,Will Bynum,PGSG,,,188.8,70.5,93,75.5,5' 10.5'',6' 3.5'',7' 9'',11.12,,3,33,40.5,15
8,2013,2005,Will Conroy,Will Conroy,PG,,,188.6,73,96.5,75,6' 1'',6' 3'',8' 0.5'',10.51,,3.28,30.5,36.5,14
-2004,,2004,Aerick Sanders,Aerick Sanders,PF,6.70%,,205,78.5,106,83.5,6' 6.5'',6' 11.5'',8' 10'',11.98,,3.37,24.5,30.5,9
14,2018,2004,Al Jefferson,Al Jefferson,PFSF,10.50%,,263,80.5,110,86.5,6' 8.5'',7' 2.5'',9' 2'',13.08,,3.29,28.5,30,3
-2004,,2004,Aleksandar Capin,Aleksandar Capin,PG,9.30%,,176,72,94,73.5,6' 0'',6' 1.5'',7' 10'',11.5,,3.27,23,29,4
-2004,,2004,Ales Chan,Ales Chan,C,14.80%,,255,84,113,87,7' 0'',7' 3'',9' 5'',12.9,,3.62,21,29,2
4,2008,2004,Andre Barrett,Andre Barrett,PG,6.70%,,171,68.75,92,73,5' 8.75'',6' 1'',7' 8'',10.63,,3.08,29,34.5,13
5,2009,2004,Andre Brown,Andre Brown,PFC,6.00%,,236,80,107,83,6' 8'',6' 11'',8' 11'',11.7,,3.22,32,35.5,18
8,2012,2004,Andre Emmett,Andre Emmett,SGSF,6.70%,,216,75.5,100,81,6' 3.5'',6' 9'',8' 4'',,,,,,
19,2023,2004,Andre Iguodala,Andre Iguodala,SGSF,6.70%,,217,77.75,105.5,83,6' 5.75'',6' 11'',8' 9.5'',11.17,,3.18,30.5,34.5,4
10,2014,2004,Andris Biedrins,Andris Biedrins,C,9.30%,,,,,,,,,,,,,,
2,2006,2004,Antonio Burks,Antonio Burks,PG,9.90%,,191,72,96.5,78.5,6' 0'',6' 6.5'',8' 0.5'',,,,,,9
-2004,,2004,Arthur Johnson,Arthur Johnson,PFC,16.30%,,262,79,109,87,6' 7'',7' 3'',9' 1'',11.81,,3.38,26.5,28.5,14
11,2015,2004,Ben Gordon,Ben Gordon,PGSG,5.30%,,192,73,99,80.5,6' 1'',6' 8.5'',8' 3'',11.28,,3.19,31.5,37.5,12
13,2017,2004,Beno Udrih,Beno Udrih,PG,9.30%,,199,74.5,98,76.5,6' 2.5'',6' 4.5'',8' 2'',,,,,,2
3,2007,2004,Bernard Robinson,Bernard Robinson,SGSF,6.00%,,208,77.25,102,82,6' 5.25'',6' 10'',8' 6'',10.91,,3.17,28.5,34.5,14
-2004,,2004,Blagota Sekulic,Blagota Sekulic,SFPF,9.30%,,234,81.25,107,83,6' 9.25'',6' 11'',8' 11'',10.93,,3.39,23.5,31.5,8
-2004,,2004,Blake Stepp,Blake Stepp,PG,8.00%,,,,,,,,,,,,,,
3,2007,2004,Bracey Wright,Bracey Wright,SGPG,,,186.8,73.25,100.5,82,6' 1.25'',6' 10'',8' 4.5'',11.58,,3.27,30,36,8
13,2017,2004,Brandon Bass,Brandon Bass,PF,9.30%,,246,78.25,106.5,86.5,6' 6.25'',7' 2.5'',8' 10.5'',11.61,,3.24,31.5,33,18
-2004,,2004,Brian Boddicker,Brian Boddicker,SFPF,11.20%,,230,79.5,105.5,82,6' 7.5'',6' 10'',8' 9.5'',10.93,,3.25,28,30,16
-2004,,2004,Bryant Matthews,Bryant Matthews,SFSG,6.70%,,206,77.75,105.5,84.5,6' 5.75'',7' 0.5'',8' 9.5'',11.08,,3.13,29,34.5,13
9,2013,2004,Chris Duhon,Chris Duhon,PG,6.70%,,193,72,98,78.5,6' 0'',6' 6.5'',8' 2'',10.45,,3.14,31.5,35,7
-2004,,2004,Chris Garnett,Chris Garnett,CPF,14.80%,,260,80.25,108,85,6' 8.25'',7' 1'',9' 0'',11.75,,3.36,27,31.5,22
14,2018,2004,Damien Wilkins,Damien Wilkins,SGSF,7.30%,,222,76.5,106,84,6' 4.5'',7' 0'',8' 10'',11.92,,3.15,26.5,31,15
8,2012,2004,Delonte West,Delonte West,PGSG,6.70%,,183,73.5,99.5,78,6' 1.5'',6' 6'',8' 3.5'',11.2,,3.15,30,35,12
5,2009,2004,Desmon Farmer,Desmon Farmer,SG,5.30%,,214,76.5,103,80.5,6' 4.5'',6' 8.5'',8' 7'',10.89,,3.2,24,31,12
15,2019,2004,Devin Harris,Devin Harris,PG,5.30%,,170,73.75,98.5,79.5,6' 1.75'',6' 7.5'',8' 2.5'',11.03,,3.19,30.5,37,5
-2004,,2004,Drago Pasalic,Drago Pasalic,PF,12.90%,,231,81.25,108,83.5,6' 9.25'',6' 11.5'',9' 0'',12.97,,3.56,25.5,30,8
18,2022,2004,Dwight Howard,Dwight Howard,PFC,10.50%,,240,81,111.5,88.5,6' 9'',7' 4.5'',9' 3.5'',11.21,,3.14,30.5,35.5,7
-2004,,2004,Dylan Page,Dylan Page,SF,12.30%,,239,79.5,105,79,6' 7.5'',6' 7'',8' 9'',10.99,,3.4,26,30,17
14,2018,2004,Emeka Okafor,Emeka Okafor,CPF,5.30%,,257,80.75,110.5,88,6' 8.75'',7' 4'',9' 2.5'',12.32,,3.15,31.5,34,22
1,2005,2004,Erik Daniels,Erik Daniels,SFPF,18.50%,,223,78.25,106,83,6' 6.25'',6' 11'',8' 10'',11.38,,3.19,31,32,4
-2004,,2004,Herve Lamizana,Herve Lamizana,SFPF,6.70%,,210,79.5,107,85.5,6' 7.5'',7' 1.5'',8' 11'',,,,,,
-2004,,2004,Ivan Koljevic,Ivan Koljevic,PG,6.70%,,172,73,95,74.5,6' 1'',6' 2.5'',7' 11'',11.07,,3.28,26,28.5,4
3,2007,2004,Jackie Butler,Jackie Butler,C,16.30%,,263,80,109,85.5,6' 8'',7' 1.5'',9' 1'',13.32,,3.4,23,25,14
2,2006,2004,Jackson Vroman,Jackson Vroman,PFC,6.70%,,226,81.25,105.5,84,6' 9.25'',7' 0'',8' 9.5'',10.75,,3.25,29.5,33.5,12
-2004,,2004,Jaime Lloreda,Jaime Lloreda,PF,9.90%,,247,78.75,107,81.5,6' 6.75'',6' 9.5'',8' 11'',12.93,,3.23,25.5,29.5,6
14,2018,2004,Jameer Nelson,Jameer Nelson,PG,8.00%,,199,71,95,74.5,5' 11'',6' 2.5'',7' 11'',10.95,,3.14,28.5,33.5,15
-2004,,2004,James Moore,James Moore,PFSF,8.00%,,198,78.5,107,84.5,6' 6.5'',7' 0.5'',8' 11'',11.01,,3.21,28.5,32.5,
3,2007,2004,Jared Reiner,Jared Reiner,CPF,12.90%,,246,82,109,84.5,6' 10'',7' 0.5'',9' 1'',12.65,,3.56,22,26,15
2,2006,2004,John Edwards,John Edwards,C,14.10%,,264,83.25,113,88.5,6' 11.25'',7' 4.5'',9' 5'',,,,,,15
10,2014,2004,Josh Childress,Josh Childress,SGSF,9.30%,,196,77.75,105,83,6' 5.75'',6' 11'',8' 9'',11.95,,3.38,29,36,11
14,2018,2004,Josh Smith,Josh Smith,SGSF,6.70%,,221,79,106.5,84,6' 7'',7' 0'',8' 10.5'',11.43,,3.24,32.5,39.5,12
16,2020,2004,JR Smith,J.R. Smith,SGSF,6.70%,,227,77.5,104,82,6' 5.5'',6' 10'',8' 8'',10.93,,3.21,29,35.5,5
-2004,,2004,Kelvin Pena,Kelvin Pena,SGPG,8.60%,,182,74.25,99.5,78.5,6' 2.25'',6' 6.5'',8' 3.5'',11.5,,3.24,27.5,32.5,1
4,2008,2004,Kirk Snyder,Kirk Snyder,SGSF,9.30%,,228,78,104,81,6' 6'',6' 9'',8' 8'',10.79,,3.13,30,35,19
13,2017,2004,Kris Humphries,Kris Humphries,PF,6.70%,,238,80.25,106.5,84.5,6' 8.25'',7' 0.5'',8' 10.5'',11.33,,3.2,29.5,36,22
3,2007,2004,Lawrence Roberts,Lawrence Roberts,PF,9.30%,,233,79.5,106.5,81.5,6' 7.5'',6' 9.5'',8' 10.5'',12.52,,3.3,27.5,33,18
1,2005,2004,Luis Flores,Luis Flores,PGSG,6.00%,,202,72.5,98.5,79.5,6' 0.5'',6' 7.5'',8' 2.5'',10.97,,3.1,29,32,15
4,2008,2004,Luke Jackson,Luke Jackson,SFSG,8.00%,,212,78,103,80.5,6' 6'',6' 8.5'',8' 7'',11.1,,3.24,26.5,36,13
15,2019,2004,Luol Deng,Luol Deng,SF,6.70%,,220,79,108.5,84.5,6' 7'',7' 0.5'',9' 0.5'',11.46,,3.34,27.5,31.5,5
-2004,,2004,Marcus Douthit,Marcus Douthit,CPF,13.70%,,223,81.5,111.5,88,6' 9.5'',7' 4'',9' 3.5'',11.64,,3.34,25.5,31.5,1
-2004,,2004,Marcus Melvin,Marcus Melvin,SFPF,10.50%,,241,78.75,105.5,84,6' 6.75'',7' 0'',8' 9.5'',11.81,,3.33,25,30.5,11
-2004,,2004,Marcus Moore,Marcus Moore,PGSG,14.80%,,202,76,101.5,81,6' 4'',6' 9'',8' 5.5'',11.31,,3.34,25,30,
-2004,,2004,Marko Tomas,Marko Tomas,SGPG,9.30%,,198,78.5,103.5,79,6' 6.5'',6' 7'',8' 7.5'',11.8,,3.23,32,31.5,
-2004,,2004,Martin Iti,Martin Iti,CPF,10.50%,,233,80.5,111.5,89,6' 8.5'',7' 5'',9' 3.5'',12.28,,3.41,26.5,32.5,13
3,2007,2004,Matt Freije,Matt Freije,SFPF,10.80%,,234,80.25,108.5,85,6' 8.25'',7' 1'',9' 0.5'',11.15,,3.25,29.5,31,13
-2004,,2004,Michel Morandais,Michel Morandais,SGSF,8.60%,,205,75.75,102,83.5,6' 3.75'',6' 11.5'',8' 6'',11.45,,3.22,30.5,33.5,16
-2004,,2004,Mike Williams (1982),Mike Williams,SF,9.30%,,197,77.5,105.5,83.5,6' 5.5'',6' 11.5'',8' 9.5'',11.59,,3.42,23.5,27.5,
-2004,,2004,Misan Nikagbatse,Misan Nikagbatse,SGPG,12.90%,,223,75.5,102,82,6' 3.5'',6' 10'',8' 6'',11.27,,3.32,27.5,32.5,11
12,2016,2004,Nate Robinson,Nate Robinson,PG,6.70%,,181,67.75,91.5,73,5' 7.75'',6' 1'',7' 7.5'',10.75,,2.96,35.5,43.5,13
-2004,,2004,Nate Williams (1980),Nate Williams (1980),PFSF,12.40%,,240,80.5,109.5,85.5,6' 8.5'',7' 1.5'',9' 1.5'',12.6,,3.35,23.5,26,1
-2004,,2004,Omar Quintero,Omar Quintero,PG,14.10%,,170,69.75,92.5,71.5,5' 9.75'',5' 11.5'',7' 8.5'',11.37,,3.25,25,29,2
3,2007,2004,Pape Sow,Pape Sow,PFC,9.30%,,233,80.5,108.5,86,6' 8.5'',7' 2'',9' 0.5'',12.13,,3.27,28,31.5,18
1,2005,2004,Peter John Ramos,Peter Ramos,C,6.70%,,266,85.75,111.5,89.5,7' 1.75'',7' 5.5'',9' 3.5'',12.61,,3.6,24,26.5,2
-2004,,2004,Randall Orr,Randall Orr,PFSF,6.70%,,193,81,107.5,82.5,6' 9'',6' 10.5'',8' 11.5'',11.18,,3.27,26.5,33,6
-2004,,2004,Rich Melzer,Rich Melzer,PFSF,12.40%,,229,79.5,107,86,6' 7.5'',7' 2'',8' 11'',11.74,,3.39,24.5,28.5,8
-2004,,2004,Rickey Paulding,Rickey Paulding,SG,5.30%,,210,74.75,101.5,81.5,6' 2.75'',6' 9.5'',8' 5.5'',11.14,,3.17,30,36,17
-2004,,2004,Ricky Minard,Ricky Minard,PGSG,8.00%,,198,75.25,101.5,79,6' 3.25'',6' 7'',8' 5.5'',10.94,,3.1,27.5,33,13
-2004,,2004,Rolando Howell,Rolando Howell,PF,11.70%,,229,79.5,107,84.5,6' 7.5'',7' 0.5'',8' 11'',11.91,,3.28,28.5,34.5,
-2004,,2004,Romain Sato,Romain Sato,SG,6.00%,,204,74,102.5,83,6' 2'',6' 11'',8' 6.5'',11.27,,3.18,31.5,35.5,8
10,2014,2004,Ryan Gomes,Ryan Gomes,SFPF,,,248,78.5,106.5,86,6' 6.5'',7' 2'',8' 10.5'',12.49,,3.24,26.5,30.5,9
-2004,,2004,Sergei Lishouk,Sergei Lishouk,PFSF,10.50%,,244,82.25,109.5,84,6' 10.25'',7' 0'',9' 1.5'',,,,,,
15,2019,2004,Shaun Livingston,Shaun Livingston,PGSG,6.70%,,186,78.25,105.5,83,6' 6.25'',6' 11'',8' 9.5'',10.72,,3.23,26.5,30,
13,2017,2004,Tiago Splitter,Tiago Splitter,CPF,5.30%,,233,82.25,109.5,86,6' 10.25'',7' 2'',9' 1.5'',11.65,,3.38,26,31.5,8
-2004,,2004,Tim Bowers,Tim Bowers,PGSG,2.60%,,181,72.5,98,81,6' 0.5'',6' 9'',8' 2'',11.24,,3.21,37,43.5,13
-2004,,2004,Tim Pickett,Tim Pickett,PGSG,6.00%,,207,75,100.5,79.5,6' 3'',6' 7.5'',8' 4.5'',,,,,,
-2004,,2004,TJ Cummings,TJ Cummings,SF,6.70%,,215,79.5,106.5,81.5,6' 7.5'',6' 9.5'',8' 10.5'',11.58,,3.12,27,31,6
-2004,,2004,Tom Timmerrmans,Tom Timmerrmans,PFC,15.20%,,272,82.5,107.5,83,6' 10.5'',6' 11'',8' 11.5'',13.13,,3.63,23,26.5,15
14,2018,2004,Tony Allen,Tony Allen,SG,6.70%,,214,75.5,102,81,6' 3.5'',6' 9'',8' 6'',10.7,,3.19,31.5,36.5,17
1,2005,2004,Tony Bobbitt,Tony Bobbitt,SG,7.30%,,185,74.75,100,79,6' 2.75'',6' 7'',8' 4'',,,,,,1
18,2022,2004,Trevor Ariza,Trevor Ariza,SGSF,8.00%,,201,79,107.5,86,6' 7'',7' 2'',8' 11.5'',11.63,,3.29,29.5,32,8
-2003,,2003,Aleksander Djuric,Aleksander Djuric,CPF,16.30%,,253,82,108,84,6' 10'',7' 0'',9' 0'',11.97,,3.65,23.5,27.5,3
-2003,,2003,Aloysius Anagonye,Aloysius Anagonye,PF,10.50%,,257,78.75,106,86.5,6' 6.75'',7' 2.5'',8' 10'',12.93,,3.3,31,34.5,6
-2003,,2003,Bernard King (1981),Bernard King,SGPG,12.90%,,200,75.75,98.5,77.5,6' 3.75'',6' 5.5'',8' 2.5'',11.37,,3.18,28,33.5,11
2,2005,2003,Brandin Knight,Brandin Knight,PG,10.50%,,190,71.75,95.5,78,5' 11.75'',6' 6'',7' 11.5'',,,,,,6
2,2005,2003,Brandon Hunter,Brandon Hunter,PF,8.00%,,266,78.5,105.5,86.75,6' 6.5'',7' 2.75'',8' 9.5'',11.13,,3.21,32.5,35,25
9,2012,2003,Brian Cook,Brian Cook,PFSF,10.50%,,234,81.5,109,86,6' 9.5'',7' 2'',9' 1'',11.87,,3.45,25,29,6
2,2005,2003,Britton Johnsen,Britton Johnsen,SFPF,7.30%,,212,82,107.5,82.75,6' 10'',6' 10.75'',8' 11.5'',10.67,,3.08,26.5,32.5,13
-2003,,2003,Carl English,Carl English,SGPG,8.00%,,201,76,98.5,77.25,6' 4'',6' 5.25'',8' 2.5'',11.77,,3.32,28,34,11
19,2022,2003,Carmelo Anthony,Carmelo Anthony,SF,8.00%,,233,78.25,105.5,84,6' 6.25'',7' 0'',8' 9.5'',11.4,,3.15,30.5,33.5,7
13,2016,2003,Chris Bosh,Chris Bosh,PF,8.00%,,225,82.25,109,87.5,6' 10.25'',7' 3.5'',9' 1'',11.8,,3.3,30.5,33,9
13,2016,2003,Chris Kaman,Chris Kaman,CPF,16.30%,,252,83.5,110.5,83.75,6' 11.5'',6' 11.75'',9' 2.5'',11.33,,3.37,23.5,30.5,15
-2003,,2003,Chris Marcus,Chris Marcus,C,23.10%,,334,84,114,92,7' 0'',7' 8'',9' 6'',,,,,,12
-2003,,2003,Chris Massie,Chris Massie,PFC,14.80%,,259,78.5,106.5,85,6' 6.5'',7' 1'',8' 10.5'',12.48,,3.22,26.5,33,13
14,2017,2003,Dahntay Jones,Dahntay Jones,SGSF,2.60%,,214,76.75,102.5,81,6' 4.75'',6' 9'',8' 6.5'',10.91,,3.11,30,39.5,
10,2013,2003,Darko Milicic,Darko Milicic,PF,8.00%,,250,83.5,111.5,89,6' 11.5'',7' 5'',9' 3.5'',11.3,,3.36,26.5,32.5,13
15,2018,2003,David West,David West,PFSF,8.00%,,226,80.25,108.25,88.25,6' 8.25'',7' 4.25'',9' 0.25'',12.18,,3.43,28.5,31.5,11
-2003,,2003,Donald Little,Donald Little,PFC,7.30%,,229,81.5,97,87,6' 9.5'',7' 3'',8' 1'',11.18,,3.2,33,37,18
-2003,,2003,Doug Wrenn,Doug Wrenn,SFPF,7.30%,,220,77.75,100.5,91.5,6' 5.75'',7' 7.5'',8' 4.5'',11.38,,3.17,34.5,41,15
16,2019,2003,Dwyane Wade,Dwyane Wade,SGSF,6.70%,,212,75.75,102,82.75,6' 3.75'',6' 10.75'',8' 6'',10.56,,3.08,31.5,35,9
-2003,,2003,Ebi Ere,Ebi Ere,SG,14.10%,,210,75.5,102,82.5,6' 3.5'',6' 10.5'',8' 6'',11.38,,3.16,29.5,33.5,
-2003,,2003,Hollis Price,Hollis Price,PGSG,7.30%,,165,71.5,94.5,76.5,5' 11.5'',6' 4.5'',7' 10.5'',10.72,,3.25,27.5,33,1
14,2017,2003,James Jones,James Jones,SF,6.70%,,218,79.25,107.5,86.5,6' 7.25'',7' 2.5'',8' 11.5'',11.18,,3.19,30.5,33,9
4,2007,2003,James Lang,James Lang,CPF,21.40%,,316,80.25,110,90.25,6' 8.25'',7' 6.25'',9' 2'',14.01,,3.55,24.5,32,8
-2003,,2003,Jason Gardner,Jason Gardner,PG,9.30%,,194,69.75,92,73,5' 9.75'',6' 1'',7' 8'',10.62,,3.17,30.5,35,10
9,2012,2003,Jason Kapono,Jason Kapono,SGSF,11.70%,,215,78.5,102,78.5,6' 6.5'',6' 6.5'',8' 6'',11.04,,3.38,23.5,30,8
-2003,,2003,Jason Keep,Jason Keep,CPF,8.60%,,270,81.75,106.5,84.5,6' 9.75'',7' 0.5'',8' 10.5'',11.18,,3.3,29.5,34,27
-2003,,2003,Jeff Newton,Jeff Newton,PF,5.30%,,199,80,106,85,6' 8'',7' 1'',8' 10'',11.18,,3.23,27.5,34,9
-2003,,2003,Jermaine Boyette,Jermaine Boyette,PGSG,7.30%,,187,73,96,76,6' 1'',6' 4'',8' 0'',11.2,,3.07,29,35.5,14
1,2004,2003,Jerome Beasley,Jerome Beasley,SFPF,9.90%,,237,81,107,84.5,6' 9'',7' 0.5'',8' 11'',11.36,,3.25,27,32,10
-2003,,2003,Jerry Holman,Jerry Holman,PF,6.00%,,232,80.75,109.5,87.25,6' 8.75'',7' 3.25'',9' 1.5'',11.54,,3.24,33,37.5,11
-2003,,2003,Joe Shipp,Joe Shipp,SG,11.70%,,224,76,103,82,6' 4'',6' 10'',8' 7'',11.75,,3.2,29,34.5,17
-2003,,2003,Joel Cornette,Joel Cornette,PFSF,12.90%,,239,80.25,105.5,81.25,6' 8.25'',6' 9.25'',8' 9.5'',11.27,,3.14,26,32.5,13
10,2013,2003,Josh Howard,Josh Howard,SFSG,6.00%,,202,77.25,105.5,86,6' 5.25'',7' 2'',8' 9.5'',10.89,,3.09,33,36.5,4
11,2014,2003,Josh Powell,Josh Powell,PFSF,8.00%,,227,80,107.5,85,6' 8'',7' 1'',8' 11.5'',11.72,,3.2,32.5,38.5,15
14,2017,2003,Justin Hamilton,Justin Hamilton,PGSG,8.00%,,217,75,103,83,6' 3'',6' 11'',8' 7'',11.18,,3.18,30,37.5,17
11,2014,2003,Keith Bogans,Keith Bogans,SG,8.00%,,213,76.25,101,81.25,6' 4.25'',6' 9.25'',8' 5'',11.43,,3.25,29.5,35,10
13,2016,2003,Kirk Hinrich,Kirk Hinrich,PGSG,5.30%,,186,74.75,98.5,78,6' 2.75'',6' 6'',8' 2.5'',10.98,,3.1,29,33.5,10
2,2005,2003,Kirk Penney,Kirk Penney,SGSF,8.00%,,218,77,97,77.25,6' 5'',6' 5.25'',8' 1'',10.44,,3.04,32,35.5,15
17,2020,2003,Kyle Korver,Kyle Korver,SF,6.70%,,211,78.25,102.5,81.5,6' 6.25'',6' 9.5'',8' 6.5'',11.42,,3.47,25.5,31.5,13
-2003,,2003,LaVell Blanchard,LaVell Blanchard,SF,11.70%,,205,78,101.5,78,6' 6'',6' 6'',8' 5.5'',11.64,,3.38,33.5,36.5,12
22,2025,2003,LeBron James,LeBron James,SFSG,6.70%,,245,79.25,106.25,84.25,6' 7.25'',7' 0.25'',8' 10.25'',,,,,,
12,2015,2003,Luke Ridnour,Luke Ridnour,PG,5.30%,,167,73,95.5,75,6' 1'',6' 3'',7' 11.5'',11,,3.28,26,32.5,0
10,2013,2003,Luke Walton,Luke Walton,SFPF,9.30%,,235,79.75,104,80.5,6' 7.75'',6' 8.5'',8' 8'',,,,28,,12
